key,company,ticker,date
27,Western Union Co (NYSE:WU),NYSE:WU,2016-02-09 16:30:00
28,RPX Corp (NASDAQ:RPXC),NASDAQ:RPXC,2016-02-09 17:00:00
29,"Demandware, Inc. (NYSE:DWRE)",NYSE:DWRE,2016-02-09 17:00:00
30,"RealNetworks, Inc. (NASDAQ:RNWK)",NASDAQ:RNWK,2016-02-09 17:00:00
31,Ruckus Wireless (NYSE:RKUS),NYSE:RKUS,2016-02-09 17:00:00
32,Computer Sciences Corp. (NYSE:CSC),NYSE:CSC,2016-02-09 17:00:00
33,"Seattle Genetics, Inc. (NASDAQ:SGEN)",NASDAQ:SGEN,2016-02-09 16:30:00
34,"ViaSat, Inc. (NASDAQ:VSAT)",NASDAQ:VSAT,2016-02-09 17:00:00
35,"Sangamo BioSciences, Inc. (NASDAQ:SGMO)",NASDAQ:SGMO,2016-02-09 17:00:00
36,"Misonix, Inc. (NASDAQ:MSON)",NASDAQ:MSON,2016-02-09 16:30:00
37,"A10 Networks, Inc. (NYSE:ATEN)",NYSE:ATEN,2016-02-09 16:30:00
38,Calix Inc. (NYSE:CALX),NYSE:CALX,2016-02-09 16:30:00
39,Radisys Corporation (NASDAQ:RSYS),NASDAQ:RSYS,2016-02-09 17:00:00
40,ESCO Technologies Inc. (NYSE:ESE),NYSE:ESE,2016-02-09 17:00:00
41,"Akamai Technologies, Inc. (NASDAQ:AKAM)",NASDAQ:AKAM,2016-02-09 16:30:00
42,NCR Corp. (NYSE:NCR),NYSE:NCR,2016-02-09 16:30:00
43,"Digital Turbine, Inc. (NASDAQ:APPS)",NASDAQ:APPS,2016-02-09 16:30:00
44,Kforce Inc. (NASDAQ:KFRC),NASDAQ:KFRC,2016-02-09 17:00:00
45,Arrowhead Research Corporation (NASDAQ:ARWR),NASDAQ:ARWR,2016-02-09 16:30:00
46,"PROS Holdings, Inc. (NYSE:PRO)",NYSE:PRO,2016-02-09 16:45:00
47,"RCI Hospitality Holdings, Inc. (NASDAQ:RICK)",NASDAQ:RICK,2016-02-09 16:30:00
48,"Callidus Software, Inc. (NASDAQ:CALD)",NASDAQ:CALD,2016-02-09 16:30:00
49,"Mad Catz Interactive, Inc. (NYSEMKT:MCZ)",NYSEMKT:MCZ,2016-02-09 17:00:00
50,Walt Disney Co (NYSE:DIS),NYSE:DIS,2016-02-09 17:00:00
51,"Tucows, Inc. (NASDAQ:TCX)",NASDAQ:TCX,2016-02-09 17:00:00
52,Open Text Corp. (NASDAQ:OTEX),NASDAQ:OTEX,2016-02-09 17:00:00
53,SolarCity Corp. (NASDAQ:SCTY),NASDAQ:SCTY,2016-02-09 17:00:00
54,"Martin Marietta Materials, Inc. (NYSE:MLM)",NYSE:MLM,2016-02-09 14:00:00
55,"SPX FLOW, Inc. (NYSE:FLOW)",NYSE:FLOW,2016-02-10 08:30:00
56,Forward Air Corp. (NASDAQ:FWRD),NASDAQ:FWRD,2016-02-10 09:00:00
57,Phibro Animal Health Corporation (NASDAQ:PAHC),NASDAQ:PAHC,2016-02-10 09:00:00
58,INTL FCStone Inc. (NASDAQ:INTL),NASDAQ:INTL,2016-02-10 09:00:00
59,ACCO Brands Corporation (NYSE:ACCO),NYSE:ACCO,2016-02-10 08:30:00
60,"Blackbaud, Inc. (NASDAQ:BLKB)",NASDAQ:BLKB,2016-02-10 08:00:00
61,National Research Corp (NASDAQ:NRCIA),NASDAQ:NRCIA,2016-02-10 11:00:00
62,"Rand Logistics, Inc. (NASDAQ:RLOG)",NASDAQ:RLOG,2016-02-10 08:30:00
63,"Pzena Investment Management, Inc. (NYSE:PZN)",NYSE:PZN,2016-02-10 10:00:00
64,GW Pharmaceuticals plc (NASDAQ:GWPH),NASDAQ:GWPH,2016-02-10 08:00:00
65,"Assurant, Inc. (NYSE:AIZ)",NYSE:AIZ,2016-02-10 08:00:00
66,Caesarstone Sdot-Yam Ltd. (NASDAQ:CSTE),NASDAQ:CSTE,2016-02-10 08:30:00
67,Apollo Commercial Real Estate Finance Incorporated (NYSE:ARI),NYSE:ARI,2016-02-10 10:00:00
68,MTS Systems Corporation (NASDAQ:MTSC),NASDAQ:MTSC,2016-02-10 10:00:00
69,"NewStar Financial, Inc (NYSE:FFG)",NYSE:FFG,2016-02-10 10:00:00
70,Criteo S.A. (NASDAQ:CRTO),NASDAQ:CRTO,2016-02-10 08:00:00
71,"NxStage Medical, Inc. (NASDAQ:NXTM)",NASDAQ:NXTM,2016-02-10 09:00:00
72,"Medidata Solutions, Inc. (NASDAQ:MDSO)",NASDAQ:MDSO,2016-02-10 08:00:00
73,Orbotech Ltd (NASDAQ:ORBK),NASDAQ:ORBK,2016-02-10 09:00:00
74,Navios Maritime Acquisition Corporation (NYSE:NNA),NYSE:NNA,2016-02-10 08:30:00
75,Fifth Street Senior Floating Rate Corp (NASDAQ:FSFR),NASDAQ:FSFR,2016-02-10 10:00:00
76,"Walker & Dunlop, Inc. (NYSE:WD)",NYSE:WD,2016-02-10 08:30:00
77,Charles River Laboratories International (NYSE:CRL),NYSE:CRL,2016-02-10 08:30:00
78,Panera Bread Co. (NASDAQ:PNRA),NASDAQ:PNRA,2016-02-10 08:30:00
79,The Carlyle Group (NASDAQ:CG),NASDAQ:CG,2016-02-10 08:30:00
80,"Berry Plastics Group, Inc. (NYSE:BERY)",NYSE:BERY,2016-02-10 10:00:00
81,"Voya Financial, Inc. (NYSE:VOYA)",NYSE:VOYA,2016-02-10 10:00:00
82,ARAMARK Holdings Corporation (NYSE:ARMK),NYSE:ARMK,2016-02-10 10:00:00
83,Axalta Coating Systems (NYSE:AXTA),NYSE:AXTA,2015-11-10 08:00:00
84,DTE Energy Company (NYSE:DTE),NYSE:DTE,2016-02-10 09:00:00
85,AmTrust Financial Services Inc (NASDAQ:AFSI),NASDAQ:AFSI,2016-02-10 10:00:00
86,Sealed Air Corp. (NYSE:SEE),NYSE:SEE,2016-02-10 10:00:00
87,Tanger Factory Outlet Centers Inc. (NYSE:SKT),NYSE:SKT,2016-02-10 10:00:00
88,Highwoods Properties Inc. (NYSE:HIW),NYSE:HIW,2016-02-10 11:00:00
89,"BGC Partners, Inc. (NASDAQ:BGCP)",NASDAQ:BGCP,2016-02-10 10:00:00
90,Markit Ltd. (NASDAQ:MRKT),NASDAQ:MRKT,2016-02-10 08:30:00
91,FirstService Corporation (NASDAQ:FSV),NASDAQ:FSV,2016-02-10 11:00:00
92,"USANA Health Sciences, Inc. (NYSE:USNA)",NYSE:USNA,2016-02-10 11:00:00
93,"Euronet Worldwide, Inc. (NYSE:NEU)",NYSE:NEU,2016-02-10 09:00:00
94,"Rush Enterprises, Inc. (NASDAQ:RUSHA)",NASDAQ:RUSHA,2016-02-10 10:00:00
95,Time Warner Inc. (NYSE:TWX),NYSE:TWX,2015-02-10 10:30:00
96,DLH Holdings Corp. (NASDAQ:DLHC),NASDAQ:DLHC,2016-02-10 11:00:00
97,CAE Inc. (NYSE:CAE),NYSE:CAE,2016-02-10 13:00:00
98,National General Holdings Corp (NASDAQ:NGHC),NASDAQ:NGHC,2016-02-10 11:00:00
99,Stellar Biotechnologies Inc. (NASDAQ:SBOT),NASDAQ:SBOT,2016-02-10 13:30:00
100,Acadia Realty Trust (NYSE:AKR),NYSE:AKR,2016-02-10 12:00:00
101,"USA Compression Partners, LP (NYSE:USAC)",NYSE:USAC,2016-02-10 11:00:00
102,Owens Corning (NYSE:OC),NYSE:OC,2016-02-10 11:00:00
103,"ARM Holdings, plc (NASDAQ:ARMH)",NASDAQ:ARMH,2016-02-10 04:30:00
104,Federal Realty Investment Trust (NYSE:FRT),NYSE:FRT,2016-02-10 11:00:00
105,Prospect Capital Corporation (NASDAQ:PSEC),NASDAQ:PSEC,2015-02-10 10:00:00
106,Horace Mann Educators Corporation (NYSE:HMN),NYSE:HMN,2016-02-10 09:00:00
107,America Movil SAB de CV (NYSE:AMX),NYSE:AMX,2016-02-10 10:00:00
108,"TechTarget, Inc. (NASDAQ:TTGT)",NASDAQ:TTGT,2016-02-10 17:00:00
109,KapStone Paper & Packaging Corp. (NYSE:KS),NYSE:KS,2016-02-10 11:00:00
110,"Douglas Emmett, Inc. (NYSE:DEI)",NYSE:DEI,2016-02-10 14:00:00
111,"Cisco Systems, Inc. (NASDAQ:CSCO)",NASDAQ:CSCO,2016-02-10 16:30:00
112,"Zynga, Inc. (NASDAQ:ZNGA)",NASDAQ:ZNGA,2016-02-10 17:00:00
113,Insight Enterprises Incorporated (NASDAQ:NSIT),NASDAQ:NSIT,2016-02-10 17:00:00
114,Arch Capital Group Ltd (NASDAQ:ACGL),NASDAQ:ACGL,2016-02-10 11:00:00
115,CSRA Inc. (NYSE:CSRA),NYSE:CSRA,2016-02-10 17:00:00
116,Vanda Pharmaceuticals Inc. (NASDAQ:VNDA),NASDAQ:VNDA,2016-02-10 16:30:00
117,"Black Knight Financial Services, Inc. (NYSE:BKFS)",NYSE:BKFS,2016-02-10 17:00:00
118,"LifeLock, Inc. (NYSE:LOCK)",NYSE:LOCK,2016-02-10 17:00:00
119,"NCI, Inc. (NASDAQ:NCIT)",NASDAQ:NCIT,2016-02-10 16:30:00
120,Clearwater Paper Corporation (NYSE:CLW),NYSE:CLW,2016-02-10 17:00:00
121,"Forrester Research, Inc. (NASDAQ:FORR)",NASDAQ:FORR,2016-02-10 16:30:00
122,Mattersight Corporation (NASDAQ:MATR),NASDAQ:MATR,2016-02-10 17:00:00
123,ImmuCell Corp. (NASDAQ:ICCC),NASDAQ:ICCC,2016-02-10 16:30:00
124,"Genomic Health, Inc. (NASDAQ:GHDX)",NASDAQ:GHDX,2015-02-10 16:30:00
125,Ligand Pharmaceuticals Incorporated (NASDAQ:LGND),NASDAQ:LGND,2016-02-10 16:30:00
126,"Twitter, Inc. (NYSE:TWTR)",NYSE:TWTR,2016-02-10 17:00:00
127,QuickLogic Corporation (NASDAQ:QUIK),NASDAQ:QUIK,2016-02-10 17:30:00
128,"Determine, Inc. (NASDAQ:DTRM)",NASDAQ:DTRM,2016-02-10 17:00:00
129,"Applied DNA Sciences, Inc. (NASDAQ:APDN)",NASDAQ:APDN,2016-02-10 16:30:00
130,"Skechers USA, Inc. (NYSE:SKX)",NYSE:SKX,2016-02-10 16:30:00
131,"Whole Foods Market, Inc. (NASDAQ:WFM)",NASDAQ:WFM,2016-02-10 17:00:00
132,Centurylink Inc (NYSE:CTL),NYSE:CTL,2016-02-10 17:00:00
133,Bruker Corp. (NASDAQ:BRKR),NASDAQ:BRKR,2016-02-10 16:45:00
134,Mylan Inc (NASDAQ:MYL),NASDAQ:MYL,2016-02-10 16:30:00
135,J2 Global Inc. (NASDAQ:JCOM),NASDAQ:JCOM,2016-02-10 17:00:00
136,"Cornerstone OnDemand, Inc. (NASDAQ:CSOD)",NASDAQ:CSOD,2016-02-10 17:00:00
137,"HubSpot, Inc. (NYSE:HUBS)",NYSE:HUBS,2016-02-10 17:00:00
138,Artisan Partners Asset Management Inc (NYSE:APAM),NYSE:APAM,2016-02-10 12:30:00
139,"Expedia, Inc. (NASDAQ:EXPE)",NASDAQ:EXPE,2016-02-10 16:00:00
140,"Tesla Motors, Inc. (NASDAQ:TSLA)",NASDAQ:TSLA,2016-02-10 17:30:00
141,World Fuel Services Corporation (NYSE:INT),NYSE:INT,2016-02-11 08:30:00
142,Ciner Resources LP (NYSE:CINR),NYSE:CINR,2016-02-11 08:30:00
143,General Cable Corp. (NYSE:BGC),NYSE:BGC,2016-02-11 08:30:00
144,"TripAdvisor, Inc. (NASDAQ:TRIP)",NASDAQ:TRIP,2016-02-11 08:00:00
145,"The Navigators Group, Inc. (NASDAQ:NAVG)",NASDAQ:NAVG,2016-02-11 08:30:00
146,"PepsiCo, Inc. (NYSE:PEP)",NYSE:PEP,2016-02-11 08:00:00
147,Stewart Information Services Corp (NYSE:STC),NYSE:STC,2016-02-11 08:30:00
148,AllianceBernstein Holding LP (NYSE:AB),NYSE:AB,2016-02-11 08:00:00
149,"Innovative Solutions and Support, Inc. (NASDAQ:ISSC)",NASDAQ:ISSC,2016-02-11 10:00:00
150,Allegion Plc (NYSE:ALLE),NYSE:ALLE,2016-02-11 08:30:00
151,Manchester United Ltd. (NYSE:MANU),NYSE:MANU,2016-02-11 08:00:00
152,"Blue Nile, Inc. (NASDAQ:NILE)",NASDAQ:NILE,2016-02-11 08:30:00
153,Och-Ziff Capital Management Group LLC (NYSE:OZM),NYSE:OZM,2016-02-11 08:30:00
154,"Flowers Foods, Inc. (NYSE:FLO)",NYSE:FLO,2016-02-11 08:00:00
155,Monotype Imaging Holdings Inc. (NASDAQ:TYPE),NASDAQ:TYPE,2016-02-11 08:30:00
156,Vista Outdoor Inc. (NYSE:VSTO),NYSE:VSTO,2016-02-11 09:00:00
157,"Hardinge, Inc. (NASDAQ:HDNG)",NASDAQ:HDNG,2016-02-11 11:00:00
158,Camtek Ltd. (NASDAQ:CAMT),NASDAQ:CAMT,2016-02-11 09:00:00
159,NICE-Systems Limited (NASDAQ:NICE),NASDAQ:NICE,2016-02-11 08:30:00
160,Lionbridge Technologies Inc. (NASDAQ:LIOX),NASDAQ:LIOX,2016-02-11 09:00:00
161,Kinross Gold Corporation (NYSE:KGC),NYSE:KGC,2016-02-11 08:00:00
162,"Monster Worldwide, Inc. (NYSE:MWW)",NYSE:MWW,2016-02-11 08:30:00
163,HNI Corporation (NYSE:HNI),NYSE:HNI,2015-02-11 11:00:00
164,Invacare Corporation. (NYSE:IVC),NYSE:IVC,2016-02-11 08:30:00
165,"Quintiles Transnational Holdings, Inc. (NYSE:Q)",NYSE:Q,2016-02-11 08:00:00
166,Reynolds American Inc. (NYSE:RAI),NYSE:RAI,2016-02-11 09:00:00
167,FBR & Co. (NASDAQ:FBRC),NASDAQ:FBRC,2016-02-11 09:00:00
168,"CYS Investments, Inc. (NYSE:CYS)",NYSE:CYS,2015-02-11 09:00:00
169,Markel Corp. (NYSE:MKL),NYSE:MKL,2016-02-11 09:30:00
170,"Q2 Holdings, Inc. (NYSE:QTWO)",NYSE:QTWO,2016-02-11 08:30:00
171,"Watsco, Inc. (NYSE:WSO)",NYSE:WSO,2016-02-11 10:00:00
172,"Time, Inc. (NYSE:TIME)",NYSE:TIME,2016-02-11 08:30:00
173,Entercom Communications Corporation (NYSE:ETM),NYSE:ETM,2016-02-11 10:30:00
174,"CNO Financial Group, Inc. (NYSE:CNO)",NYSE:CNO,2016-02-11 09:00:00
175,LendingClub Corporation (NYSE:LC),NYSE:LC,2016-02-11 08:30:00
176,W.R. Grace & Co. (NYSE:GRA),NYSE:GRA,2016-02-11 11:00:00
177,Huntsman Corp. (NYSE:HUN),NYSE:HUN,2016-02-11 09:00:00
178,Travelzoo Inc (NASDAQ:TZOO),NASDAQ:TZOO,2016-02-11 11:00:00
179,Acorda Therapeutics Inc (NASDAQ:ACOR),NASDAQ:ACOR,2016-02-11 08:30:00
180,"PBF Energy, Inc. (NYSE:PBF)",NYSE:PBF,2016-02-11 08:30:00
181,"Advance Auto Parts, Inc. (NYSE:AAP)",NYSE:AAP,2016-02-11 08:30:00
182,Capella Education Co. (NASDAQ:CPLA),NASDAQ:CPLA,2016-02-11 09:00:00
183,"Navigant Consulting, Inc. (NYSE:NCI)",NYSE:NCI,2016-02-11 10:00:00
184,First American Financial Corporation (NYSE:FAF),NYSE:FAF,2016-02-11 11:00:00
185,Safe Bulkers Inc. (NYSE:SB),NYSE:SB,2016-02-11 09:00:00
186,Nokia Oyj (NYSE:NOK),NYSE:NOK,2016-02-11 08:00:00
187,American Equity Investment Life Holding Company (NYSE:AEL),NYSE:AEL,2016-02-11 10:00:00
188,Pilgrim's Pride Corp. (NASDAQ:PPC),NASDAQ:PPC,2016-02-11 09:00:00
189,"Group 1 Automotive, Inc. (NYSE:GPI)",NYSE:GPI,2016-02-11 10:00:00
190,Service Corporation International (NYSE:SCI),NYSE:SCI,2016-02-11 09:00:00
191,"VCA Antech, Inc. (NASDAQ:WOOF)",NASDAQ:WOOF,2016-02-11 09:00:00
192,ION Geophysical Corporation (NYSE:IO),NYSE:IO,2016-02-11 10:00:00
193,"Coeur Mining, Inc. (NYSE:CDE)",NYSE:CDE,2016-02-11 11:00:00
194,"Armada Hoffler Properties, Inc. (NYSE:AHH)",NYSE:AHH,2016-02-11 08:00:00
195,"Fidelity National Financial, Inc. (NYSE:FNF)",NYSE:FNF,2016-02-11 11:00:00
196,"Primerica, Inc. (NYSE:PRI)",NYSE:PRI,2016-02-11 10:00:00
197,"WABCO Holdings, Inc. (NYSE:WBC)",NYSE:WBC,2016-02-11 09:00:00
198,"Diebold, Inc. (NYSE:DBD)",NYSE:DBD,2016-02-11 08:30:00
199,Kellogg Co. (NYSE:K),NYSE:K,2016-02-11 09:30:00
200,Bunge Limited (NYSE:BG),NYSE:BG,2016-02-11 10:00:00
201,Incyte Corp. (NASDAQ:INCY),NASDAQ:INCY,2016-02-11 10:00:00
202,"Avon Products, Inc. (NYSE:AVP)",NYSE:AVP,2016-02-11 21:00:00
203,Just Energy Group Inc. (NYSE:JE),NYSE:JE,2016-02-11 08:30:00
204,International Flavors & Fragrances Inc. (NYSE:IFF),NYSE:IFF,2016-02-11 10:00:00
205,KKR & Co. LP (NYSE:KKR),NYSE:KKR,2016-02-11 10:00:00
206,"The Andersons, Inc. (NASDAQ:ANDE)",NASDAQ:ANDE,2016-02-11 11:00:00
207,Regency Centers Corporation (NYSE:REG),NYSE:REG,2016-02-11 10:00:00
208,"FLIR Systems, Inc. (NASDAQ:FLIR)",NASDAQ:FLIR,2016-02-11 11:00:00
209,Equifax Inc. (NYSE:EFX),NYSE:EFX,2016-02-11 08:30:00
210,Agnico Eagle Mines Limited (NYSE:AEM),NYSE:AEM,2016-02-11 11:00:00
211,Shire PLC (NASDAQ:SHPG),NASDAQ:SHPG,2016-02-11 09:00:00
212,"Omega Healthcare Investors, Inc. (NYSE:OHI)",NYSE:OHI,2016-02-11 10:00:00
213,Aircastle Limited (NYSE:AYR),NYSE:AYR,2016-02-11 10:00:00
214,The WhiteWave Foods Co. (NYSE:WWAV),NYSE:WWAV,2016-02-11 10:00:00
215,Thomson Reuters Corp (NYSE:TRI),NYSE:TRI,2016-02-11 08:30:00
216,"O’Reilly Automotive, Inc. (NASDAQ:ORLY)",NASDAQ:ORLY,2016-02-11 11:00:00
217,PBF Logistics LP (NYSE:PBFX),NYSE:PBFX,2016-02-11 11:00:00
218,"TreeHouse Foods, Inc. (NYSE:THS)",NYSE:THS,2016-02-11 09:00:00
219,"National Retail Properties, Inc. (NYSE:NNN)",NYSE:NNN,2016-02-11 10:30:00
220,FMC Corp (NYSE:FMC),NYSE:FMC,2016-02-11 09:00:00
221,"World Wrestling Entertainment, Inc. (NYSE:WWE)",NYSE:WWE,2016-02-11 11:00:00
222,Sonoco Products Company (NYSE:SON),NYSE:SON,2016-02-11 11:00:00
223,Textainer Group Holdings Limited (NYSE:TGH),NYSE:TGH,2016-02-11 11:00:00
224,"Sun Life Financial, Inc. (NYSE:SLF)",NYSE:SLF,2016-02-11 10:00:00
225,"Rayonier, Inc. (NYSE:RYN)",NYSE:RYN,2016-02-11 10:00:00
226,Summit Materials (NYSE:SUM),NYSE:SUM,2016-02-11 11:00:00
227,Pioneer Natural Resources Co. (NYSE:PXD),NYSE:PXD,2016-02-11 10:00:00
228,Green Plains Inc. (NASDAQ:GPRE),NASDAQ:GPRE,2016-02-11 11:00:00
229,The Mosaic Company (NYSE:MOS),NYSE:MOS,2016-02-11 09:00:00
230,FNFV Group (NYSE:FNFV),NYSE:FNFV,2016-02-11 12:00:00
231,Teck Resources Ltd. (NYSE:TCK),NYSE:TCK,2016-02-11 11:00:00
232,"Taubman Centers, Inc. (NYSE:TCO)",NYSE:TCO,2016-02-11 11:00:00
233,"Oceaneering International, Inc. (NYSE:OII)",NYSE:OII,2016-02-10 11:00:00
234,"Prudential Financial, Inc. (NYSE:PRU)",NYSE:PRU,2016-02-11 11:00:00
235,CoreSite Realty Corporation (NYSE:COR),NYSE:COR,2016-02-11 12:00:00
236,"The Ensign Group, Inc. (NASDAQ:ENSG)",NASDAQ:ENSG,2016-02-11 13:00:00
237,Ellington Residential Mortgage REIT (NYSE:EARN),NYSE:EARN,2016-02-11 11:00:00
238,"Penske Automotive Group, Inc. (NYSE:PAG)",NYSE:PAG,2016-02-11 14:00:00
239,Total SA (NYSE:TOT),NYSE:TOT,2016-02-11 09:30:00
240,SMART Technologies (NASDAQ:SMT),NASDAQ:SMT,2016-02-11 16:30:00
241,Brightcove (NASDAQ:BCOV),NASDAQ:BCOV,2016-02-11 17:00:00
242,"Activision Blizzard, Inc. (NASDAQ:ATVI)",NASDAQ:ATVI,2016-02-11 16:30:00
243,"Rocky Brands, Inc. (NASDAQ:RCKY)",NASDAQ:RCKY,2016-02-11 16:30:00
244,"VeriSign, Inc. (NASDAQ:VRSN)",NASDAQ:VRSN,2016-02-11 16:30:00
245,Precision Drilling Corporation (NYSE:PDS),NYSE:PDS,2016-02-11 14:00:00
246,Louisiana-Pacific Corp. (NYSE:LPX),NYSE:LPX,2016-02-11 11:00:00
247,"Iteris, Inc. (NASDAQ:ITI)",NASDAQ:ITI,2016-02-11 16:30:00
248,Republic Services Incorporated (NYSE:RSG),NYSE:RSG,2016-02-11 17:00:00
249,Cray Inc. (NASDAQ:CRAY),NASDAQ:CRAY,2016-02-11 04:30:00
250,NorthWestern Corporation (NYSE:NWE),NYSE:NWE,2016-02-11 15:30:00
251,BSQUARE Corporation (NASDAQ:BSQR),NASDAQ:BSQR,2016-02-11 17:00:00
252,Trupanion (NYSE:TRUP),NYSE:TRUP,2016-02-11 16:30:00
253,"Ellie Mae, Inc. (NYSE:ELLI)",NYSE:ELLI,2016-02-11 16:30:00
254,"Cenovus Energy, Inc. (NYSE:CVE)",NYSE:CVE,2016-02-11 11:00:00
255,Teva Pharmaceutical Industries (NYSE:TEVA),NYSE:TEVA,2016-02-11 08:00:00
256,"Alnylam Pharmaceuticals, Inc. (NASDAQ:ALNY)",NASDAQ:ALNY,2016-02-11 16:30:00
257,Nu Skin Enterprises Inc. (NYSE:NUS),NYSE:NUS,2016-02-11 17:00:00
258,"Groupon, Inc. (NASDAQ:GRPN)",NASDAQ:GRPN,2016-02-11 17:00:00
259,CyberArk Software Ltd. (NASDAQ:CYBR),NASDAQ:CYBR,2016-02-11 16:30:00
260,"Guidance Software, Inc. (NASDAQ:GUID)",NASDAQ:GUID,2016-02-11 17:00:00
261,BorgWarner Inc. (NYSE:BWA),NYSE:BWA,2016-02-11 09:30:00
262,Manulife Financial Corporation (NYSE:MFC),NYSE:MFC,2016-02-11 14:00:00
263,"Blucora, Inc. (NASDAQ:BCOR)",NASDAQ:BCOR,2016-02-11 17:00:00
264,"MoneyGram International, Inc. (NASDAQ:MGI)",NASDAQ:MGI,2016-02-11 04:30:00
265,Nielsen Holdings NV (NYSE:NLSN),NYSE:NLSN,2016-02-11 08:00:00
266,Ideal Power Inc. (NASDAQ:IPWR),NASDAQ:IPWR,2016-02-11 16:30:00
267,"SS&C Technologies Holdings, Inc. (NASDAQ:SSNC)",NASDAQ:SSNC,2016-02-11 17:00:00
268,"DaVita HealthCare Partners, Inc. (NYSE:DVA)",NYSE:DVA,2016-02-11 17:00:00
269,S&W Seed Company (NASDAQ:SANW),NASDAQ:SANW,2016-02-11 16:30:00
270,"LogMeIn, Inc. (NASDAQ:LOGM)",NASDAQ:LOGM,2016-02-11 17:00:00
271,"Amber Road, Inc. (NYSE:AMBR)",NYSE:AMBR,2016-02-11 17:00:00
272,Knowles Corp. (NYSE:KN),NYSE:KN,2016-02-11 16:30:00
273,"Pandora Media, Inc. (NYSE:P)",NYSE:P,2016-02-11 17:00:00
274,"Web.com Group, Inc. (NASDAQ:WEB)",NASDAQ:WEB,2016-02-11 17:00:00
275,Rovi Corporation (NASDAQ:ROVI),NASDAQ:ROVI,2016-02-11 17:00:00
276,"Synthesis Energy Systems, Inc. (NASDAQ:SYMX)",NASDAQ:SYMX,2016-02-11 16:15:00
277,Select Comfort Corporation (NASDAQ:SCSS),NASDAQ:SCSS,2016-02-11 17:00:00
278,NetSol Technologies Inc. (NASDAQ:NTWK),NASDAQ:NTWK,2016-02-11 09:00:00
279,Xplore Technologies Corp. (NASDAQ:XPLR),NASDAQ:XPLR,2016-02-11 16:30:00
280,Infinera Corporation (NASDAQ:INFN),NASDAQ:INFN,2016-02-11 17:00:00
281,"LPL Financial Holdings, Inc. (NASDAQ:LPLA)",NASDAQ:LPLA,2016-02-11 17:00:00
282,"Qlik Technologies, Inc. (NASDAQ:QLIK)",NASDAQ:QLIK,2016-02-11 17:00:00
283,"PDF Solutions, Inc. (NASDAQ:PDFS)",NASDAQ:PDFS,2016-02-11 17:00:00
284,"Vocera Communications, Inc. (NYSE:VCRA)",NYSE:VCRA,2016-02-11 17:00:00
285,TransCanada Corporation (NYSE:TRP),NYSE:TRP,2016-02-11 15:00:00
286,"NuVasive, Inc. (NASDAQ:NUVA)",NASDAQ:NUVA,2016-02-11 16:30:00
287,"FireEye, Inc. (NASDAQ:FEYE)",NASDAQ:FEYE,2016-02-11 17:00:00
